fipscounty,pred,predict_date,k
55075,25.204778271915064,2020-11-23,3
55075,25.203394217477854,2020-11-22,3
55075,24.22537923053005,2020-11-21,3
55075,24.224990537131102,2020-11-20,3
55075,22.270700081394153,2020-11-19,3
55075,22.270880790546503,2020-11-18,3
55075,22.2710162812965,2020-11-17,3
55075,20.318881322964828,2020-11-16,3
55075,20.317739863507935,2020-11-15,3
55075,20.318148018258125,2020-11-14,3
55075,20.31835480937142,2020-11-13,3
55075,19.34227542338343,2020-11-12,3
55075,19.34228804119868,2020-11-11,3
55075,19.343484822419992,2020-11-10,3
55075,19.343826982042547,2020-11-09,3
55075,18.36780904403055,2020-11-08,3
55075,18.367915791287935,2020-11-07,3
55075,18.368299384603915,2020-11-06,3
55075,16.41867244576892,2020-11-05,3
55075,16.41940466161878,2020-11-04,3
55075,16.420159133287893,2020-11-03,3
55075,14.47257124054971,2020-11-02,3
55075,14.472985326028338,2020-11-01,3
55075,13.500179222684968,2020-10-31,3
55075,12.528379398668825,2020-10-30,3
55075,11.556417273887227,2020-10-29,3
55075,11.556552599760565,2020-10-28,3
55075,11.557084728770821,2020-10-27,3
55075,11.55764015862134,2020-10-26,3
55075,11.557682927728168,2020-10-25,3
55075,11.556706476283603,2020-10-24,3
55075,11.557376395339615,2020-10-23,3
55075,10.586066663214348,2020-10-22,3
55075,9.615814689323855,2020-10-21,3
55075,9.616660984020948,2020-10-20,3
55075,9.617108853306082,2020-10-19,3
55075,9.61762726865718,2020-10-18,3
55075,9.617868702640628,2020-10-17,3
55075,9.618070422220548,2020-10-16,3
55075,9.618237672045558,2020-10-15,3
55075,9.61908000755537,2020-10-14,3
55075,9.619206551522788,2020-10-13,3
55075,9.619835770627772,2020-10-12,3
55075,9.620347875126672,2020-10-11,3
55075,9.620532468000913,2020-10-10,3
55075,9.621249522650512,2020-10-09,3
55075,9.621790713704598,2020-10-08,3
55075,9.623028022063137,2020-10-07,3
55075,9.623631265920743,2020-10-06,3
55075,8.653799385098926,2020-10-05,3
55075,8.654025820802495,2020-10-04,3
55075,8.654281140579805,2020-10-03,3
55075,8.654562973654501,2020-10-02,3
55075,8.654880461790583,2020-10-01,3
55075,8.655586709681005,2020-09-30,3
55075,8.656499159478964,2020-09-29,3
55075,8.657044655023677,2020-09-28,3
55075,7.687310578742091,2020-09-27,3
55075,7.6876405421775855,2020-09-26,3
55075,7.687335918390252,2020-09-25,3
55075,7.687687421801873,2020-09-24,3
55075,7.688748039744319,2020-09-23,3
55075,7.689567899766109,2020-09-22,3
55075,7.690027318104391,2020-09-21,3
55075,7.690673875081764,2020-09-20,3
55075,7.6908063913740445,2020-09-19,3
55075,7.690999536085028,2020-09-18,3
55075,7.690949376444318,2020-09-17,3
55075,7.691737394079075,2020-09-16,3
55075,7.692775267734018,2020-09-15,3
55075,7.693011750948019,2020-09-14,3
55075,7.693289688992947,2020-09-13,3
55075,7.693482483288222,2020-09-12,3
55075,7.6936497206937915,2020-09-11,3
55075,7.694665681387921,2020-09-10,3
55075,7.69548474574539,2020-09-09,3
55075,7.6964944630487455,2020-09-08,3
55075,6.735408241745538,2020-09-07,3
55075,6.735632897868156,2020-09-06,3
55075,6.736038700204246,2020-09-05,3
55075,6.735826203311663,2020-09-04,3
55075,6.735972129756567,2020-09-03,3
55075,6.736684180289015,2020-09-02,3
55075,6.7374189515049565,2020-09-01,3
55075,6.73731870219657,2020-08-31,3
55075,6.737537922015218,2020-08-30,3
55075,6.737838007290832,2020-08-29,3
55075,6.737550168559857,2020-08-28,3
55075,6.737073511152095,2020-08-27,3
55075,6.7380398157274675,2020-08-26,3
55075,6.738914687582764,2020-08-25,3
55075,5.866699402238281,2020-08-24,3
55075,5.866365966716426,2020-08-23,3
55075,5.8662780734116895,2020-08-22,3
55075,5.866067918295325,2020-08-21,3
55075,5.865485462541489,2020-08-20,3
55075,5.865570232839292,2020-08-19,3
55075,5.866240923033143,2020-08-18,3
55075,5.86581531192597,2020-08-17,3
55075,5.865793550164112,2020-08-16,3
55075,5.087558965872211,2020-08-15,3
55075,5.086925521015622,2020-08-14,3
55075,4.320592881173567,2020-08-13,3
55075,4.320754732246992,2020-08-12,3
55075,4.320888936384346,2020-08-11,3
55075,4.3210347890990475,2020-08-10,3
55075,4.320912093777417,2020-08-09,3
55075,4.320227071945444,2020-08-08,3
55075,4.319977808633255,2020-08-07,3
