date,county,arima.pred,arima.w,ma.pred,ma.w,clep
2020-08-01,55075,NA,NA,NA,NA,NA
2020-08-02,55075,NA,NA,NA,NA,NA
2020-08-03,55075,NA,NA,NA,NA,NA
2020-08-04,55075,NA,NA,NA,NA,NA
2020-08-05,55075,NA,NA,NA,NA,NA
2020-08-06,55075,NA,NA,NA,NA,NA
2020-08-07,55075,NA,NA,NA,NA,NA
2020-08-08,55075,NA,NA,NA,NA,NA
2020-08-09,55075,NA,NA,NA,NA,NA
2020-08-10,55075,NA,NA,NA,NA,NA
2020-08-11,55075,NA,NA,NA,NA,NA
2020-08-12,55075,NA,NA,NA,NA,NA
2020-08-13,55075,NA,NA,NA,NA,NA
2020-08-14,55075,3.111111111110546,0.49162791051030735,3,0.5083720894896926,3.054625323389756
2020-08-15,55075,3.1102941176480416,0.49169267014011453,3,0.5083073298598855,3.0542308092071133
2020-08-16,55075,4.145985401459854,0.491756435507061,5.047506905436473,0.508243564492939,4.604177904107965
2020-08-17,55075,4.144927536231885,0.4918192293365372,5.047506905436473,0.5081807706634628,4.603601015659214
2020-08-18,55075,5.179856115107822,0.5000051340897063,7.460716467335389,0.49999486591029374,6.32027458107995
2020-08-19,55075,5.178571428571603,0.5040678334189285,7.460716467335389,0.4959321665810715,6.310360562097971
2020-08-20,55075,5.177304964538834,0.5060689430538367,7.460716467335389,0.49393105694616346,6.305152821558164
2020-08-21,55075,5.176056338028175,0.5070398000824532,7.460716467335389,0.4929601999175468,6.302302852115107
2020-08-22,55075,5.174825174825209,0.5074960130953017,7.460716467335389,0.49250398690469827,6.300635750017205
2020-08-23,55075,5.173611111111196,0.4801283649593335,5.958951313533798,0.5198716350406666,5.581887206207803
2020-08-24,55075,5.172413793103364,0.4664463394229602,5.958951313533798,0.5335536605770399,5.592073766310211
2020-08-25,55075,5.171232876712668,0.5400180866091313,5,0.45998191339086875,5.092468850446952
2020-08-26,55075,5.170068027210328,0.5763905620922385,5,0.42360943790776157,5.098025605797679
2020-08-27,55075,6.202702702702703,0.5943295265623125,6.907541971797462,0.4056704734376874,6.488635182693847
2020-08-28,55075,6.201342281878495,0.6032416413350528,6.907541971797462,0.3967583586649472,6.481532911740439
2020-08-29,55075,6.1999999999999975,0.5653760544345299,6.907541971797462,0.4346239455654702,6.507514683435785
2020-08-30,55075,6.198675496688744,0.5122412847921509,6.907541971797462,0.48775871520784914,6.54443129784169
2020-08-31,55075,6.197368421052456,0.4854608081295131,6.907541971797462,0.5145391918704869,6.562780545940585
2020-09-01,55075,6.196078431372029,0.4970293778408042,6.907541971797462,0.5029706221591959,6.553923690943394
2020-09-02,55075,6.194805194804586,0.5027833391115882,6.907541971797462,0.49721666088841165,6.549189795153351
2020-09-03,55075,6.193548387096861,0.5181505479100061,6,0.4818494520899939,6.100287202821336
2020-09-04,55075,6.19230769230747,0.5258568934812988,6,0.4741431065187011,6.101126325669362
2020-09-05,55075,6.1910828025478555,0.5300789128836456,6,0.4699210871163544,6.101288964245327
2020-09-06,55075,6.18987341772118,0.5324877346838637,6,0.4675122653161363,6.101105266079034
2020-09-07,55075,6.188679245283103,0.5337245053336125,6,0.4662754946663875,6.100702736855443
2020-09-08,55075,6.187500000000419,0.5341759415802176,6,0.4658240584197824,6.100157989046515
2020-09-09,55075,6.186335403726708,0.5344337069790622,6,0.4655662930209378,6.099583920555105
2020-09-10,55075,7.216049382716049,0.51220796169709,7.873971996836021,0.48779203830290996,7.5369787957032095
2020-09-11,55075,7.214723926379431,0.5011023246559575,7.873971996836021,0.4988976753440425,7.543621256205269
2020-09-12,55075,7.213414634146271,0.5052533340477987,7.873971996836021,0.49474666595220124,7.540223187007204
2020-09-13,55075,7.212121212121125,0.5072979701309576,7.873971996836021,0.49270202986904255,7.538216437220574
2020-09-14,55075,7.210843373494062,0.5082899524934629,7.873971996836021,0.49171004750653713,7.5369103803804816
2020-09-15,55075,7.209580838323594,0.508756047607073,7.873971996836021,0.4912439523929269,7.535958976966154
2020-09-16,55075,7.208333333333419,0.5089595862830372,7.873971996836021,0.4910404137169629,7.535188818045743
2020-09-17,55075,7.207100591716317,0.5194823468008091,7,0.48051765319919093,7.107585101408628
2020-09-18,55075,7.205882352941329,0.5247683576777186,7,0.4752316423222814,7.108040544227846
2020-09-19,55075,7.204678362573403,0.5273641361543434,7,0.47263586384565653,7.107940027868008
2020-09-20,55075,7.203488372093141,0.5286917173544793,7,0.4713082826455208,7.107582616903591
2020-09-21,55075,7.202312138728324,0.5293852281037603,7,0.4706147718962396,7.107101057708853
2020-09-22,55075,7.201149425286693,0.5297614543534681,7,0.47023854564653184,7.106561212082243
2020-09-23,55075,7.2,0.5299787176237096,7,0.4700212823762904,7.105995743524742
2020-09-24,55075,7.1988636363637015,0.5100323993098607,7,0.4899676006901393,7.101426897590062
2020-09-25,55075,7.19774011299422,0.500071381535021,7,0.49992861846497905,7.09888417148991
2020-09-26,55075,7.196629213482903,0.4951181499511183,7,0.5048818500488818,7.0973546924059985
2020-09-27,55075,7.195530726256967,0.49266930147097127,7,0.5073306985290288,7.0963319863211325
2020-09-28,55075,7.194444444444685,0.4914721532657372,7,0.5085278467342628,7.095564029801789
2020-09-29,55075,7.193370165745442,0.4909004555795634,7,0.5090995444204366,7.094925502459933
2020-09-30,55075,8.219780219780159,0.4906411511480551,8.85033293660359,0.5093588488519449,8.540957825761808
2020-10-01,55075,8.21857923497234,0.4906942330174938,8.85033293660359,0.5093057669825062,8.540335038525681
