"","date","county","model3.pred","model3.w","model2.pred","model2.w","clep"
"60",2020-09-27,6107,265.284891591589,0.516120777981458,258.2,0.483879222018542,261.856659760165
"61",2020-09-26,6107,264.185631240034,0.528117825555223,256,0.471882174444777,260.322977771284
"62",2020-09-25,6107,264.201214187106,0.515930066108869,256,0.484069933891131,260.231252977727
"63",2020-09-24,6107,264.222842289183,0.509417417342539,257.7,0.490582582657461,261.022849472688
"64",2020-09-23,6107,264.237332005127,0.538299466185777,261.5,0.461700533814223,262.973504357133
"65",2020-09-22,6107,264.252245582274,0.532934258774479,264.8,0.467065741225521,264.508082905399
"66",2020-09-21,6107,263.143628777053,0.524995693815636,268.4,0.475004306184364,265.640427742856
"67",2020-09-20,6107,260.919484607426,0.502532007921555,263.8,0.497467992078445,262.352448815921
"68",2020-09-19,6107,258.698996888344,0.492446577656738,255.8,0.507553422343261,257.227601096303
"69",2020-09-18,6107,254.261082990067,0.49231488076622,248.7,0.50768511923378,251.437803909186
"70",2020-09-17,6107,254.2823615497,0.513360657502201,249.1,0.486639342497799,251.760420532568
"71",2020-09-16,6107,254.297294620891,0.518161543614297,248.2,0.481838456385703,251.359383592632
"72",2020-09-15,6107,253.200095143578,0.527650149910036,251.1,0.472349850089964,252.208115517334
"73",2020-09-14,6107,253.206817851293,0.569492344773033,252.3,0.430507655226967,252.816425824415
"74",2020-09-13,6107,253.215911364602,0.565932075735793,249.6,0.434067924264207,251.646360224246
"75",2020-09-12,6107,249.902243009556,0.53517425255039,243,0.46482574744961,246.69390274356
"76",2020-09-11,6107,249.930225890516,0.533543768331166,243,0.466456231668834,246.697578837012
"77",2020-09-10,6107,249.952651636781,0.537282094761727,248.1,0.462717905238274,249.095396552273
"78",2020-09-09,6107,249.968320552687,0.527112702005213,259.5,0.472887297994787,254.475730691879
"79",2020-09-08,6107,249.987762239634,0.548238857126654,262.6,0.451761142873346,255.685481184447
"80",2020-09-07,6107,246.675008157299,0.606247799586222,251.4,0.393752200413778,248.5354840923
"81",2020-09-06,6107,240.018754846827,0.576515862025971,236.4,0.423484137974029,238.486269569979
"82",2020-09-05,6107,237.810013010197,0.515989533873502,232,0.484010466126498,234.997905904931
"83",2020-09-04,6107,237.832102178335,0.460873247016775,237.1,0.539126752983225,237.437406308077
"84",2020-09-03,6107,237.855994111816,0.489371085976534,246.8,0.510628914023466,242.423062125519
"85",2020-09-02,6107,237.864873205,0.501657519076944,259.7,0.498342480923056,248.74624446329
"86",2020-09-01,6107,234.557002043034,0.497272088751593,251.8,0.502727911248407,243.2255383896
"87",2020-08-31,6107,229.031085209764,0.495078575386816,243.8,0.504921424613184,236.488226705641
"88",2020-08-30,6107,220.4894823735,0.504620265779528,228.6,0.495379734220472,224.507268439706
"89",2020-08-29,6107,220.491255797519,0.511470111676244,223.2,0.488529888323755,221.814558300255
"90",2020-08-28,6107,214.137805076238,0.523849297988437,213.4,0.476150702011563,213.78649867124
"91",2020-08-27,6107,214.154026815969,0.531843822335322,214.2,0.468156177664678,214.17554944608
"92",2020-08-26,6107,214.16599875183,0.540159334746874,215.8,0.459840665253126,214.917378972813
"93",2020-08-25,6107,212.049625295342,0.54669548677669,212.2,0.45330451322331,212.117790827638
"94",2020-08-24,6107,212.059794046085,0.574855979728757,212.1,0.425144020271243,212.076887366971
"95",2020-08-23,6107,209.942038732901,0.581657962676974,208.1,0.418342037323026,209.171436496551
"96",2020-08-22,6107,209.945782984167,0.544731424189683,207.2,0.455268575810317,208.695714275481
"97",2020-08-21,6107,208.901252918444,0.51731532647433,205,0.48268467352567,207.018177927164
"98",2020-08-20,6107,208.920380418743,0.526240112610565,205,0.473759887389435,207.063061433036
"99",2020-08-19,6107,208.932703154934,0.522241711013861,216.9,0.477758288986139,212.739145263477
"100",2020-08-18,6107,208.943405508748,0.513509075302088,223.1,0.486490924697912,215.830460253371
"101",2020-08-17,6107,208.955878640771,0.540864002593066,217.6,0.459135997406934,212.924705922747
