date,county,model3.pred,model3.w,model2.pred,model2.w,clep
2020-11-27,55075,2913.64650621741,0.1780504490852697,3218.6,0.8219495509147303,3164.3028934818876
2020-11-26,55075,2865.220213100631,0.1288611202014137,3119.2999999999993,0.8711388797985864,3086.5589940396108
2020-11-25,55075,2819.9550928495205,0.15299898814060364,3029.7000000000007,0.8470010118593964,2997.609241438332
2020-11-24,55075,2770.5692546896416,0.16372123147223375,2989.4,0.8362787685277663,2953.572760893802
2020-11-23,55075,2746.408046147919,0.09649220433131958,3025.6,0.9035077956686803,2998.660152941244
2020-11-22,55075,2713.1866499921025,0.11152246251622862,3044.1999999999994,0.8884775374837715,3007.2845760813725
2020-11-21,55075,2667.930989445237,0.10396851416871943,3077.900000000001,0.8960314858312806,3035.2761311174017
2020-11-20,55075,2618.5687728296107,0.052950354657897374,3042.1,0.9470496453421026,3019.673871312633
2020-11-19,55075,2561.121558741745,0.058243204997612104,2900.9,0.941756795002388,2881.1102145920268
2020-11-18,55075,2482.5117037931836,0.07179629813500885,2666.3000000000006,0.9282037018649912,2653.104680691811
2020-11-17,55075,2431.127991034431,0.06761623552603548,2535.0999999999995,0.9323837644739645,2528.0698041536684
2020-11-16,55075,2398.895349719975,0.05238659042534066,2641.9,0.9476134095746593,2629.1698149143276
2020-11-15,55075,2389.891270205085,0.051123872153869425,2790.499999999999,0.9488761278461305,2770.0193305142398
2020-11-14,55075,2371.8759944202234,0.04561320000423596,2778.0999999999995,0.9543867999957641,2759.5708231869676
2020-11-13,55075,2286.252214997405,0.056845529372219365,2609.2,0.9431544706277807,2590.8418622019417
2020-11-12,55075,2223.8233942035686,0.05581489840621902,2518.8000000000006,0.944185101593781,2502.3359107152614
2020-11-11,55075,2182.5717914409,0.06397875255367723,2424.2,0.9360212474463228,2408.7409286346087
2020-11-10,55075,2133.308216360895,0.08240262664643042,2358.1,0.9175973733535695,2339.5765665796016
2020-11-09,55075,2089.992482672901,0.09300620494638942,2394.0000000000005,0.9069937950536106,2365.725414538233
2020-11-08,55075,2068.930718127534,0.06624416765537315,2404.6999999999994,0.9337558323446268,2382.457243398115
2020-11-07,55075,2022.7050893599685,0.06320307753603316,2330.0999999999995,0.9367969224639668,2310.671695628636
2020-11-06,55075,1956.2779697425328,0.08591720778287894,2212.5999999999995,0.9140827922171211,2190.5775268670395
2020-11-05,55075,1921.0610298790764,0.08933654492582588,2215.5,0.9106634550741742,2189.1958397178782
2020-11-04,55075,1874.7569598442178,0.12306363552913292,2140.9999999999995,0.8769363644708671,2108.2351635441
2020-11-03,55075,1840.5916353576727,0.13736979742592062,2067.1000000000004,0.8626302025740793,2035.984591833807
2020-11-02,55075,1783.1816765679757,0.2550324434651113,1948.5999999999997,0.7449675565348887,1906.4129607812283
2020-11-01,55075,1758.0543482763396,0.20304916536732198,1983.0000000000005,0.7969508346326779,1937.3249731645026
2020-10-31,55075,1727.8639295406813,0.12428557575113797,1989.9999999999995,0.875714424248862,1957.4202675578222
2020-10-30,55075,1705.7619896965039,0.10890155313511381,1964.2,0.8910984468648862,1936.0556992888005
2020-10-29,55075,1651.370136483842,0.1275563330256711,1928.2999999999997,0.872443666974329,1892.9758421045792
2020-10-28,55075,1615.0660681175077,0.16550928123622338,1926.6,0.8344907187637766,1875.038242853434
2020-10-27,55075,1582.8608838004277,0.2044393028356975,1797.8999999999996,0.7955606971643026,1753.9375530017548
2020-10-26,55075,1523.4066158009045,0.27643370646281495,1585.3999999999996,0.7235662935371852,1568.2629390296706
2020-10-25,55075,1480.1324601667022,0.3316951846031975,1540.9,0.6683048153968024,1520.743699657112
2020-10-24,55075,1480.221470397699,0.18731398722896345,1622.8,0.8126860127710366,1596.09304712695
2020-10-23,55075,1480.2776465563475,0.11996269294060319,1662.5,0.8800373070593969,1640.6401157669252
2020-10-22,55075,1447.0833533638456,0.1577259237796405,1622.6999999999996,0.8422740762203594,1595.0007021782294
2020-10-21,55075,1419.9172612710977,0.18143158611996874,1565.8,0.8185684138800312,1539.3322633248902
2020-10-20,55075,1393.7167748359848,0.17589285892601042,1528.6999999999996,0.8241071410739895,1504.9574146188475
2020-10-19,55075,1364.5319395740444,0.15036071679827903,1559.2000000000005,0.849639283201721,1529.929570896623
2020-10-18,55075,1351.479960565552,0.18712300195167386,1587.4000000000003,0.8128769980483262,1543.2539340004691
2020-10-17,55075,1325.3402955966017,0.20383646334065825,1536.1000000000004,0.7961635366593418,1493.139487239689
2020-10-16,55075,1276.9708069738922,0.186103523674014,1448,0.8138964763259859,1416.170864526718
2020-10-15,55075,1248.8236632051216,0.1183370247389953,1383.5999999999997,0.8816629752610047,1367.650969298473
2020-10-14,55075,1223.6240920099717,0.09899274244434032,1329.5999999999997,0.9010072575556596,1319.1091542350377
2020-10-13,55075,1196.4515196049292,0.06997284003407418,1293.5,0.9300271599659258,1286.7092422057656
2020-10-12,55075,1185.4301875902845,0.055799531758399475,1328.4000000000003,0.9442004682416004,1320.422351411952
2020-10-11,55075,1168.3700496444117,0.057312002070839245,1395.1999999999994,0.9426879979291608,1382.1999214154916
2020-10-10,55075,1150.288066540318,0.051454533425294095,1385.6,0.948545466574706,1373.4921342544283
2020-10-09,55075,1118.0484527073952,0.07930044435296447,1345,0.9206995556470355,1327.0026414531035
2020-10-08,55075,1067.615592626917,0.12463532721515491,1280.6000000000001,0.8753646727848451,1254.05461869533
2020-10-07,55075,1047.4633227827371,0.15320588575672853,1250.3999999999999,0.8467941142432714,1219.3089066144016
