"","date","county","model3.pred","model3.w","model2.pred","model2.w","clep"
"1166",2020-07-12,6085,5614.77744562863,0.0280397243147131,6178.7,0.971960275685287,6162.88776704058
"1167",2020-07-11,6085,5543.09744672018,0.0305809120469578,6369.2,0.969419087953042,6343.93703047638
"1168",2020-07-10,6085,5404.35980014641,0.0396825782748606,6155.3,0.960317421725139,6125.50075673957
"1169",2020-07-09,6085,5202.5824262603,0.0776109786161877,5861.1,0.922389021383812,5809.9918066661
"1170",2020-07-08,6085,4967.60007716951,0.114542456330708,5685,0.885457543669292,5602.82725066754
"1171",2020-07-07,6085,4866.67529754349,0.117118665245664,5566.3,0.882881334754337,5484.3608886754
"1172",2020-07-06,6085,4683.50772173785,0.076261967599966,5210,0.923738032400034,5169.84866293354
"1173",2020-07-05,6085,4475.35574490199,0.0702764343224697,5014.9,0.92972356567753,4976.98275359254
"1174",2020-07-04,6085,4367.5616432544,0.0945209400591945,4762.4,0.905479059940806,4725.07950734898
"1175",2020-07-03,6085,4262.40127312238,0.0966517835486252,4538.8,0.903348216451375,4512.08557007671
"1176",2020-07-02,6085,4079.34880841242,0.134372032959751,4280.8,0.865627967040249,4253.73059384421
"1177",2020-07-01,6085,4080.59710188828,0.178816702692768,4395.3,0.821183297307232,4339.0258654318
"1178",2020-06-30,6085,3982.44233289593,0.203988802084457,4381.4,0.796011197915543,4300.01710340503
"1179",2020-06-29,6085,3925.80601178896,0.23903560063632,4312.4,0.76096439936368,4219.99027382558
"1180",2020-06-28,6085,3817.67472342315,0.29825535729798,4147.4,0.70174464270202,4049.0576698244
"1181",2020-06-27,6085,3692.37980397927,0.332299456743191,3965.7,0.667700543256809,3874.87584734537
"1182",2020-06-26,6085,3632.25124681282,0.305243033660229,3839.3,0.694756966339771,3776.09981046158
"1183",2020-06-25,6085,3541.28715564766,0.288279133890572,3731,0.711720866109428,3676.30974554219
"1184",2020-06-24,6085,3480.2349662332,0.300465322769104,3655.3,0.699534677230896,3602.69902812367
"1185",2020-06-23,6085,3444.67455655937,0.301989284673429,3565.2,0.698010715326571,3528.80260755042
"1186",2020-06-22,6085,3367.75772927055,0.343900033513407,3435.3,0.656099966486593,3412.07221083257
"1187",2020-06-21,6085,3333.34582623189,0.348777092204872,3420.1,0.651222907795128,3389.84213153652
"1188",2020-06-20,6085,3309.505934487,0.338248360315316,3421.6,0.661751639684684,3383.68436613915
"1189",2020-06-19,6085,3276.33342474587,0.356907432783169,3420.8,0.643092567216831,3369.23880550307
"1190",2020-06-18,6085,3236.24209557312,0.378558383609414,3371.1,0.621441616390586,3320.04840968321
"1191",2020-06-17,6085,3196.22634169431,0.373962565023622,3272.4,0.626037434976378,3243.91390335277
"1192",2020-06-16,6085,3141.45578629692,0.419716659591133,3206.5,0.580283340408867,3179.19985989881
"1193",2020-06-15,6085,3110.37356252521,0.462581707861045,3195.1,0.537418292138955,3155.90709985193
"1194",2020-06-14,6085,3095.84393130641,0.496234375066553,3172.3,0.503765624933447,3134.35987053179
"1195",2020-06-13,6085,3051.33139439623,0.477957381872206,3104,0.522042618127794,3078.82665115876
"1196",2020-06-12,6085,3020.15951899642,0.490069483267807,3098.6,0.509930516732193,3060.1587140073
"1197",2020-06-11,6085,2998.96534878995,0.510452269799365,3072.4,0.489547730200635,3034.91511560791
"1198",2020-06-10,6085,2971.3570373942,0.478152101303538,3002.3,0.521847898696462,2987.50455740948
"1199",2020-06-09,6085,2928.97962284043,0.538728509790781,2922.7,0.461271490209219,2926.08301185487
"1200",2020-06-08,6085,2911.29563440835,0.538153107468688,2926.3,0.461846892531312,2918.22535403126
"1201",2020-06-07,6085,2898.36323820612,0.520449516384574,2973.2,0.479550483615425,2934.25124351659
"1202",2020-06-06,6085,2884.54112580885,0.54339939448621,2975.1,0.45660060551379,2925.89036259918
"1203",2020-06-05,6085,2856.026119101,0.650830368572947,2890.6,0.349169631427053,2868.09826835151
"1204",2020-06-04,6085,2810.91246758526,0.664850024930559,2794.5,0.335149975069441,2805.41182948323
"1205",2020-06-03,6085,2787.22679071813,0.608033296350912,2763.6,0.391966703649088,2777.96587544254
"1206",2020-06-02,6085,2782.25348249403,0.475613035459389,2783,0.524386964540611,2782.64494654296
"1207",2020-06-01,6085,2769.77066710005,0.532145623052038,2811.4,0.467854376947962,2789.24713270672
"1208",2020-05-31,6085,2757.12850836542,0.556170645317865,2854.3,0.443829354682135,2800.2560687911
"1209",2020-05-30,6085,2734.83483989717,0.508188856697154,2833.1,0.491811143302846,2783.16274063418
"1210",2020-05-29,6085,2700.08803882463,0.472965026512992,2816.5,0.527034973487008,2761.44121369626
"1211",2020-05-28,6085,2654.1377532193,0.506735055179542,2714.4,0.493264944820458,2683.86300705234
"1212",2020-05-27,6085,2629.56132066874,0.503620941425651,2626.1,0.496379058574349,2627.84319357377
"1213",2020-05-26,6085,2575.33470997784,0.517610854072942,2533,0.482389145927057,2554.91290538856
"1214",2020-05-25,6085,2576.72213382083,0.537031827641877,2559,0.462968172358123,2568.51734991551
"1215",2020-05-24,6085,2569.05304333818,0.514629023193075,2593.8,0.485370976806925,2581.06449786613
"1216",2020-05-23,6085,2556.68368573673,0.518887431179191,2589.4,0.481112568820809,2572.42391573428
"1217",2020-05-22,6085,2540.86317134809,0.502155810840168,2546.9,0.497844189159832,2543.8685714134
"1218",2020-05-21,6085,2506.51083561306,0.507221317570112,2478.2,0.492778682429888,2492.55985934117
"1219",2020-05-20,6085,2492.79155546739,0.503429902906461,2467.3,0.496570097093539,2480.13321129388
