"","countyFIPS","date","cases","cases_lower","cases_upper","deaths","deaths_lower","deaths_upper"
"1",6001,2020-12-10,33664.0595231174,33009.7284210013,34217.3562960241,527.242321080535,520,533.68260195634
"2",6001,2020-12-11,34835.7143762571,33983.9242384489,35592.2858324151,526.594089805075,520,532.868744325119
"3",6001,2020-12-12,34850.4613699543,34056.979062672,35656.5807535931,526.357205434624,520,532.627621120905
"4",6001,2020-12-13,36497.7087399373,35485.8860438624,37362.2439905503,533.121977013855,525,544.853259672419
"5",6001,2020-12-14,36531.0271554246,35328.7273015638,37441.4265654948,531.060105108419,525,533.761163355433
"6",6001,2020-12-15,36462.9526139527,35239.2602223823,37617.3434688557,531.518437616513,525,536.50237529735
"7",6001,2020-12-16,36709.0658871102,35713.0191862278,37794.4552981696,532.207036904658,525,539.26471399638
"8",6013,2020-12-10,28212.4870163556,27764.4683533303,28564.7351438434,271.187558421981,267,273.428037219983
"9",6013,2020-12-11,28511.8935390178,28086.0719698264,28866.8880159225,270.99804359398,267,273.230644378276
"10",6013,2020-12-12,29794.6170378118,29390.7599333416,30312.3810734044,270.831271262505,267,273.058115205345
"11",6013,2020-12-13,30674.1736724183,30203.8130255041,31243.5860160772,270.68124182506,267,272.903706081759
"12",6013,2020-12-14,30712.5545462085,30198.5352641964,31247.5740690885,271.02856577647,267,273.391320413202
"13",6013,2020-12-15,30783.8300984704,30139.2861750475,31321.5802299982,271.027012553621,267,273.382000849828
"14",6013,2020-12-16,30995.1607111654,30629.2916895241,31395.8821571123,271.636253498446,267,275.832903329473
"15",6019,2020-12-10,41718.748627592,41178.0565920559,42198.6697638032,521.683190429442,507.441154323803,532.085377653709
"16",6019,2020-12-11,41688.3542421843,41147.8422996214,42168.0952854222,524.197188181182,509.944852574762,534.60967490623
"17",6019,2020-12-12,42510.4192904773,41904.378343695,42936.5234107618,522.872211175013,508.650026072613,533.254547396042
"18",6019,2020-12-13,42532.9477449681,41671.7093366289,43015.4530374377,519.188749502517,507.708192172042,517.026340106267
"19",6019,2020-12-14,42537.4206789076,41515.1538137603,43052.8669138123,520.339653901718,507.708192172042,517.026340106267
"20",6019,2020-12-15,42529.5639967611,41515.1538137603,43230.2922352973,521.957684943121,507.708192172042,526.616758910233
"21",6019,2020-12-16,42495.1603234912,41515.1538137603,43408.8691496088,512.367266139154,507.708192172042,517.026340106267
"22",6039,2020-12-10,6889.73531802368,6677.76412770478,6954.06958069735,93.2294087226014,90,95.1738888830444
"23",6039,2020-12-11,6884.43464474799,6672.02642636421,6949.20593548654,93.1484966687783,90,95.0881030899932
"24",6039,2020-12-12,7336.84914990662,7057.32227003386,7348.1236648925,92.6872427098269,90,92.8613373154274
"25",6039,2020-12-13,7349.22217723214,7063.83324436695,7382.09896849322,92.6200658336324,90,92.7904957860198
"26",6039,2020-12-14,7350.13590360915,7063.83324436695,7321.52634754934,92.8754774996335,90,92.7904957860198
"27",6039,2020-12-15,7366.76133337426,7063.83324436695,7514.34752140117,91.1110172627904,90,92.7904957860198
"28",6039,2020-12-16,7392.14531088031,7063.83324436695,7618.78490741091,91.1110172627904,90,92.7904957860198
"29",6041,2020-12-10,8304.69794637828,7964,8354.76927285066,132.767506168609,131,135.975436910823
"30",6041,2020-12-11,8304.50179453639,7964,8354.34788352388,132.74063352718,131,135.946495393451
"31",6041,2020-12-12,8518.4235951043,8117.79678951279,8711.81284839079,134.205432280655,132,137.622300730682
"32",6041,2020-12-13,8418.43964882169,8207.96113741556,8663.73547045474,134.248723054705,132,137.663279288076
"33",6041,2020-12-14,8428.29817414545,8193,8675.52621155026,133.925152590804,132,137.642419319706
"34",6041,2020-12-15,8449.91589266697,8193,8711.08135317638,134.147671088206,132,137.647633947126
"35",6041,2020-12-16,8439.70293777933,8193,8746.81525756646,133.644455867491,132,135.627165979798
"36",6047,2020-12-10,13780.9216925562,13173.761414516,14055.8562205503,198.440046729872,191.659385554855,204.254338944238
"37",6047,2020-12-11,13764.1768194833,13156.9838224891,14039.1440664315,198.164526220952,191.505640161374,203.97107235558
"38",6047,2020-12-12,14693.4792723907,14037.6014870637,14971.8068517085,201.814790425871,195.25112450314,207.216536029155
"39",6047,2020-12-13,14923.9757239737,14246.5910937715,15167.3414215536,208.336352409884,200.530132527342,214.576250401419
"40",6047,2020-12-14,14957.9269607389,14165.7361898322,15208.6356566488,207.970691876992,200.005961051154,215.009697258959
"41",6047,2020-12-15,14977.871854786,14165.7361898322,15481.756237306,208.582777794355,200.005961051154,215.668901126257
"42",6047,2020-12-16,14956.5773782982,14165.7361898322,15632.1858971102,206.784302512284,200.005961051154,213.471509235998
"43",6055,2020-12-10,3714.14700395901,3495.11781362433,3938.08544054234,20.0930173157797,19,22.1862334463568
"44",6055,2020-12-11,3718.82704740884,3500.17403837813,3942.3893026882,20.0924295637444,19,22.1850560150423
"45",6055,2020-12-12,4109.49885598436,3818.38173253086,4302.17707233529,22.6484841122972,21,24.51408214914
"46",6055,2020-12-13,4226.6288248133,3933.82108893367,4400.05108988153,22.6478444283529,21,24.5128078630172
"47",6055,2020-12-14,4196.48455023024,3885.20236521356,4252.89748083567,22.285447378564,21,21.5210485200854
"48",6055,2020-12-15,4203.59282980222,3885.20236521356,4376.69657732965,22.5187289384466,21,22.8734596330281
"49",6055,2020-12-16,4197.34296691667,3885.20236521356,4467.102553069,22.8747156187103,21,24.3421298721871
"50",6075,2020-12-10,17372.9734962197,17079.0070577956,17703.6242680701,166.981394084916,164,169.752744113225
