"","date","county","arima.pred","arima.w","ma.pred","ma.w","clep"
"180",2020-08-13,6041,5679.73526325684,0.999999998040217,5511.47184502638,1.95978304635031e-09,5679.73526292708
"181",2020-08-13,6047,5471.9257766758,0.789010270178752,5608.83868854132,0.210989729821248,5500.81299495935
"182",2020-08-13,6055,1181.46016837928,0.728152988612024,1177.71293080054,0.271847011387976,1180.44149304254
"183",2020-08-14,6085,13017.9320358778,0.820434017444423,13003.7075680191,0.179565982555577,13015.3778053304
"184",2020-08-14,6081,6492.68333155772,0.616076415434919,6551.96669262694,0.383923584565081,6515.44361204448
"185",2020-08-14,6097,4139.63721659383,0.346851156544105,4188.58492482547,0.653148843455895,4171.60735561514
"186",2020-08-14,6001,13630.5064662487,0.566915244353424,14571.8623738127,0.433084755646576,14038.1933594525
"187",2020-08-14,6013,10046.2443422534,0.363019450288971,10163.7372424606,0.636980549711029,10121.0850344145
"188",2020-08-14,6075,8104.59845085758,0.843006605241474,8123.86396259964,0.156993394758526,8107.62300894773
"189",2020-08-14,6039,2558.3187787972,0.544343877474144,2603.67583560284,0.455656122525856,2578.98599943044
"190",2020-08-14,6019,18900.6576895452,0.875953485781706,19068.8692371435,0.124046514218294,18921.523745676
"191",2020-08-14,6095,4395.92382787309,0.536657982339423,4358.09437331265,0.463342017660577,4378.39585207006
"192",2020-08-14,6099,10666.2489817924,0.463871991999972,10531.3769295045,0.536128008000029,10593.9402970644
"193",2020-08-14,6107,11178.8648129216,0.737524555581591,11274.8385286171,0.262475444418409,11204.0555566013
"194",2020-08-14,6041,5662.42906193038,0.999999999478581,5511.47184502638,5.2141861931368e-10,5662.42906185167
"195",2020-08-14,6047,5446.15702829597,0.829026185075712,5608.83868854132,0.170973814924288,5473.97133236633
"196",2020-08-14,6055,1165.79600182477,0.732395441700102,1177.71293080054,0.267604558299898,1168.98502633963
"197",2020-08-15,6085,14549.6798023746,0.401290821451479,14261.5643694015,0.598709178548521,14377.1824481721
"198",2020-08-15,6081,6717.23091695716,0.601532586685971,6765.31856496105,0.39846741331403,6736.39227766963
"199",2020-08-15,6097,4123.37792471843,0.336866748881765,4133.55720651871,0.663133251118235,4130.1281449527
"200",2020-08-15,6001,13928.9770177632,0.312585046853662,14324.0105839998,0.687414953146337,14200.528998189
"201",2020-08-15,6013,10355.3224909401,0.532298958711911,10524.8568655569,0.467701041288089,10434.6138944825
"202",2020-08-15,6075,8153.49304127306,0.856004812110081,8111.47141202871,0.143995187889919,8147.44212887458
"203",2020-08-15,6039,2635.15175788939,0.475471124656683,2789.66565678848,0.524528875343317,2716.19875950384
"204",2020-08-15,6019,19302.8353475069,0.774007871882183,19508.1421560505,0.225992128117817,19349.2330700868
"205",2020-08-15,6095,4691.13242718701,0.448771506181,4722.60187717686,0.551228493819,4708.47928470623
"206",2020-08-15,6099,11079.4410137718,0.526525934176247,11035.8175702225,0.473474065823753,11058.7864445893
"207",2020-08-15,6107,11670.8955951422,0.255785413248803,11742.2042859158,0.744214586751197,11723.964562978
"208",2020-08-15,6041,5765.0170806741,0.999999999785219,5585.36862929682,2.1478093698884e-10,5765.01708063552
"209",2020-08-15,6047,6302.55163468543,0.300093467022956,6939.40579651533,0.699906532977044,6748.2900231038
"210",2020-08-15,6055,1159.84894264531,0.646375802083947,1161.35381581776,0.353624197916053,1160.38110221388
"211",2020-08-16,6085,14416.6678398922,0.190424243769092,14555.0221824327,0.809575756230908,14528.6761613823
"212",2020-08-16,6081,6854.05110478888,0.516250848946275,6973.53688138443,0.483749151053725,6911.85224777998
"213",2020-08-16,6097,4223.76084707793,0.281267676774597,4294.14195032839,0.718732323225403,4274.3460209283
"214",2020-08-16,6001,14737.6286783751,0.521393623712759,15105.5372046482,0.478606376287241,14913.7120449398
"215",2020-08-16,6013,11091.4436500598,0.541895914602784,11130.008519389,0.458104085397216,11109.1103742523
"216",2020-08-16,6075,8195.46206438258,0.782344885550361,8237.29179883533,0.217655114449639,8204.56652002229
"217",2020-08-16,6039,2657.79106032235,0.753749283888345,2753.32621351892,0.246250716111655,2681.31666021084
"218",2020-08-16,6019,19442.6528553826,0.774388367662132,19591.7520022394,0.225611632337868,19476.2913572851
"219",2020-08-16,6095,4715.63881578284,0.285047245742236,4766.9679031905,0.714952754257764,4752.33668819848
"220",2020-08-16,6099,11921.0527272708,0.66545458149263,12123.7719538975,0.33454541850737,11988.8715157821
"221",2020-08-16,6107,12227.9570025907,0.314348809447221,12823.0550728643,0.685651190552779,12635.9867029695
"222",2020-08-16,6041,5854.11915922109,0.999946121966799,5689.52526400104,5.38780332006532e-05,5854.11029122574
"223",2020-08-16,6047,6594.77126099136,0.125849841523788,7522.31752137233,0.874150158476211,7405.5859714974
"224",2020-08-16,6055,1223.17083258396,0.664717078658757,1249.90895110076,0.335282921341243,1232.13566707144
"225",2020-08-17,6085,14276.0120954295,0.101180268776666,14649.6063306468,0.898819731223334,14611.8059655141
"226",2020-08-17,6081,7008.29922422275,0.454215385624851,7154.97663746852,0.545784614375149,7088.35349964864
"227",2020-08-17,6097,4302.90995761506,0.469439816340098,4342.14721130753,0.530560183659902,4323.72768214045
"228",2020-08-17,6001,15368.8657039225,0.576223406960239,15726.3223958998,0.423776593039761,15520.3474830079
"229",2020-08-17,6013,11620.5645657641,0.405189515708899,11603.2842849224,0.594810484291101,11610.286073548
"230",2020-08-17,6075,8367.55668863044,0.694478544167635,8420.71612137242,0.305521455832365,8383.798035913
"231",2020-08-17,6039,2958.51401674353,0.514255112931786,3351.97894941845,0.485744887068214,3149.63759603101
"232",2020-08-17,6019,19754.996727518,0.89598687251221,19988.5029380723,0.10401312748779,19779.2844387656
"233",2020-08-17,6095,4789.63099410838,0.333021797713569,4840.37913422791,0.666978202286431,4823.47889737469
"234",2020-08-17,6099,12987.9297810836,0.714584209927992,13521.4373053223,0.285415790072008,13140.2012526236
"235",2020-08-17,6107,12370.8633683871,0.350990133891995,12921.3713129309,0.649009866108005,12728.1484557669
